Wiek;Liczba dozywajacych
0;100000
1;99611
2;99583
3;99565
4;99550
5;99538
6;99528
7;99519
8;99510
9;99501
10;99493
11;99484
12;99474
13;99463
14;99449
15;99432
16;99409
17;99379
18;99340
19;99290
20;99229
21;99158
22;99078
23;98990
24;98897
25;98799
26;98696
27;98589
28;98477
29;98359
30;98235
31;98103
32;97961
33;97810
34;97647
35;97471
36;97283
37;97081
38;96866
39;96635
40;96387
41;96121
42;95833
43;95521
44;95182
45;94811
46;94404
47;93959
48;93469
49;92932
50;92341
51;91695
52;90988
53;90217
54;89380
55;88473
56;87490
57;86426
58;85272
59;84022
60;82669
61;81210
62;79643
63;77965
64;76174
65;74270
66;72254
67;70129
68;67901
69;65581
70;63177
71;60697
72;58148
73;55531
74;52847
75;50099
76;47289
77;44421
78;41502
79;38540
80;35545
81;32530
82;29515
83;26521
84;23575
85;20710
86;17959
87;15359
88;12943
89;10740
90;8768
91;7039
92;5552
93;4300
94;3266
95;2433
96;1775
97;1267
98;885
99;605
100;404
